Sample	se_sense	se_antisense	failed
SRR2155413	0.4504	0.4363	0.1133
SRR2155414	0.4504	0.4357	0.1138
SRR2155415	0.4511	0.4402	0.1087
SRR2155416	0.4575	0.4442	0.0983
SRR2155417	0.4531	0.4378	0.109
SRR2155418	0.4509	0.4404	0.1087
SRR2155419	0.4479	0.4355	0.1166
SRR2155420	0.4561	0.4374	0.1065
SRR2155421	0.4543	0.4429	0.1028
SRR2155422	0.4549	0.4448	0.1003
SRR2155423	0.4499	0.4374	0.1127
SRR2155424	0.4504	0.44	0.1096
