Sample	Chromosome X	Chromosome Y
SRR2155413	354980.0	8278.0
SRR2155414	1194065.0	33275.0
SRR2155415	1127851.0	32545.0
SRR2155416	787619.0	17970.0
SRR2155417	1510313.0	43788.0
SRR2155418	1134104.0	33601.0
SRR2155419	578382.0	13555.0
SRR2155420	1436327.0	42258.0
SRR2155421	853839.0	25207.0
SRR2155422	793403.0	16964.0
SRR2155423	1159051.0	31415.0
SRR2155424	1014390.0	27469.0
