Sample	Unique Unpaired	Duplicate Unpaired
SRR2155413	5456797.0	3449577.0
SRR2155414	13295680.0	16508728.0
SRR2155415	12815233.0	15416676.0
SRR2155416	10005306.0	9819604.0
SRR2155417	15323861.0	22313134.0
SRR2155418	12800386.0	15454231.0
SRR2155419	8048909.0	6570953.0
SRR2155420	14988081.0	21123564.0
SRR2155421	10561453.0	10837506.0
SRR2155422	10090698.0	10235602.0
SRR2155423	12992924.0	16702775.0
SRR2155424	12044388.0	13825815.0
