Sample	5.0	10.0	15.0	20.0	25.0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0
SRR2155413	52653.0	75291.0	88742.0	98126.0	104940.0	110310.0	114628.0	118332.0	121541.0	124336.0	126781.0	129026.0	131043.0	132857.0	134498.0	135973.0	137395.0	138791.0	140055.0	141255.0
SRR2155414	87242.0	110158.0	121609.0	129070.0	134515.0	138948.0	142499.0	145588.0	148335.0	150833.0	153048.0	155090.0	156930.0	158642.0	160214.0	161651.0	163117.0	164486.0	165757.0	166909.0
SRR2155415	85068.0	108138.0	119923.0	127626.0	133191.0	137705.0	141467.0	144581.0	147283.0	149699.0	151895.0	153929.0	155801.0	157547.0	159121.0	160632.0	162083.0	163359.0	164618.0	165842.0
SRR2155416	75402.0	99010.0	111491.0	119654.0	125737.0	130338.0	134105.0	137451.0	140216.0	142679.0	144867.0	146904.0	148694.0	150368.0	152073.0	153580.0	154979.0	156325.0	157629.0	158841.0
SRR2155417	93029.0	115194.0	126378.0	133659.0	139088.0	143444.0	147036.0	150134.0	152909.0	155378.0	157515.0	159574.0	161533.0	163253.0	164841.0	166401.0	167854.0	169215.0	170527.0	171758.0
SRR2155418	85164.0	108288.0	120010.0	127597.0	133127.0	137531.0	141259.0	144432.0	147127.0	149639.0	151863.0	153872.0	155761.0	157437.0	159049.0	160616.0	162114.0	163484.0	164763.0	165970.0
SRR2155419	66202.0	89958.0	103052.0	111716.0	118053.0	123011.0	127080.0	130475.0	133401.0	135913.0	138226.0	140333.0	142198.0	143894.0	145522.0	146990.0	148429.0	149826.0	151100.0	152296.0
SRR2155420	92194.0	114756.0	126067.0	133156.0	138525.0	142794.0	146315.0	149400.0	152322.0	154724.0	156939.0	159081.0	160945.0	162694.0	164322.0	165848.0	167295.0	168653.0	169907.0	171143.0
SRR2155421	77399.0	100836.0	113123.0	121042.0	127049.0	131583.0	135235.0	138410.0	141175.0	143664.0	145834.0	147875.0	149784.0	151553.0	153153.0	154655.0	156035.0	157341.0	158551.0	159811.0
SRR2155422	75561.0	98967.0	111256.0	119590.0	125577.0	130210.0	134051.0	137336.0	140130.0	142648.0	144831.0	146859.0	148760.0	150458.0	152051.0	153547.0	154958.0	156264.0	157591.0	158777.0
SRR2155423	85796.0	108667.0	120408.0	127972.0	133598.0	138042.0	141787.0	144888.0	147654.0	150095.0	152393.0	154394.0	156199.0	157916.0	159593.0	161197.0	162626.0	163940.0	165226.0	166464.0
SRR2155424	82574.0	105759.0	117569.0	125316.0	130939.0	135351.0	138971.0	142197.0	145059.0	147491.0	149653.0	151664.0	153614.0	155330.0	156970.0	158474.0	159925.0	161224.0	162494.0	163702.0
