Sample	x	y
SRR2155413	-15.6570088451385	23.9585167970165
SRR2155414	-11.2127803797799	-7.21104976624714
SRR2155415	-12.1129810740735	-7.80700225692439
SRR2155416	-11.6530507794449	3.88513539359952
SRR2155417	-11.1061167434347	-7.20275769041592
SRR2155418	-11.8433804635894	-6.80450272517693
SRR2155419	4.23039637548952	11.0507334596266
SRR2155420	-0.745972650779445	-5.48325327831199
SRR2155421	-0.644144589322033	-4.95098245651573
SRR2155422	25.186152627234	7.27117425040833
SRR2155423	22.668479045555	-3.2864977941123
SRR2155424	22.8904074772839	-3.41951393294654
