Sample	x	y
SRR2155413	-16.247141545828	24.6473629139566
SRR2155414	-11.6612171265147	-9.07846638193991
SRR2155415	-12.354719862316	-6.72161405798728
SRR2155416	-12.5008859057054	5.02585733612916
SRR2155417	-11.4019697737126	-8.62225869300131
SRR2155418	-12.0816334271579	-5.80904261983698
SRR2155419	4.58006893353998	12.5399219881829
SRR2155420	-0.52300188869327	-7.81748555478224
SRR2155421	-0.575282915252015	-4.80343869556186
SRR2155422	26.0748781128543	9.51525802594804
SRR2155423	23.0881298294914	-5.78931200074478
SRR2155424	23.6027755692942	-3.0867822603623
