Sample	se_sense	se_antisense	failed
SRR2155413	0.485	0.4582	0.0568
SRR2155414	0.482	0.4617	0.0564
SRR2155415	0.4806	0.4624	0.057
SRR2155416	0.4819	0.4598	0.0583
SRR2155417	0.4847	0.4645	0.0508
SRR2155418	0.4816	0.4615	0.0568
SRR2155419	0.4805	0.4582	0.0613
SRR2155420	0.4868	0.4634	0.0498
SRR2155421	0.4816	0.4626	0.0558
SRR2155422	0.4809	0.4621	0.057
SRR2155423	0.4862	0.4582	0.0556
SRR2155424	0.481	0.4631	0.0559
