Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
SRR2155413	551593	542511	1868	7005	62874	57655	958	4261	98.35349614661536	0.3386554941777724	1.2699581031666465	91.699271558991	1.523682285205331	6.777046155803671
SRR2155414	1306307	1277615	5896	22221	87573	72157	2777	12639	97.80357909740972	0.4513487258355042	1.7010549587501251	82.39640071711601	3.1710687083918563	14.432530574492139
SRR2155415	1225082	1198484	5158	20878	84496	69932	2347	12217	97.82888002599009	0.4210330410535784	1.7042124527174507	82.7636811209998	2.7776462791138044	14.458672599886386
SRR2155416	977176	958186	3937	14657	77150	66429	1793	8928	98.056644862338	0.4028956912572556	1.4999345051454396	86.10369410239792	2.324044069993519	11.572261827608553
SRR2155417	1492210	1457258	7229	27060	93758	74752	3279	15727	97.65770233412188	0.48444923971827025	1.8134176824977717	79.72866315407752	3.497301563599906	16.774035282322576
SRR2155418	1219710	1193762	5258	20099	83977	69893	2346	11738	97.87260906281001	0.43108607783817465	1.647850718613441	83.22874120294843	2.793622063183967	13.977636733867607
SRR2155419	782570	768252	2901	11109	70767	62972	1362	6433	98.17038731359496	0.3707016624710889	1.419553522368606	88.98497887433409	1.9246258849463733	9.090395240719545
SRR2155420	1465671	1431329	7174	26504	92520	74330	3283	14907	97.65690936096846	0.489468646101342	1.8083185107708348	80.33938607868569	3.54842196281885	16.112191958495462
SRR2155421	1023077	1002883	4175	15591	78133	67015	1888	9230	98.02615052434959	0.40808267608400933	1.523932216245698	85.770417109288	2.4163925614017123	11.81319032931028
SRR2155422	992368	972326	3920	15683	77754	66573	1821	9360	97.98038630830497	0.3950147525917804	1.5803613175757383	85.62003240990818	2.3420016976618565	12.037965892429972
SRR2155423	1273794	1245274	6053	21904	87503	71979	2771	12753	97.76101944270424	0.47519457620305955	1.7195873116061153	82.2588939807778	3.1667485686205046	14.574357450601694
SRR2155424	1155430	1131921	4753	18250	82058	68979	2173	10906	97.96534623473512	0.4113620037561773	1.5794985416684697	84.0612737332131	2.648126934607229	13.290599332179678
