Sample	Sense	Antisense	Undetermined
SRR2155413	48.5	45.82	5.680000000000001
SRR2155414	48.199999999999996	46.17	5.64
SRR2155415	48.06	46.239999999999995	5.7
SRR2155416	48.19	45.98	5.83
SRR2155417	48.47	46.45	5.08
SRR2155418	48.16	46.150000000000006	5.680000000000001
SRR2155419	48.05	45.82	6.13
SRR2155420	48.68	46.339999999999996	4.9799999999999995
SRR2155421	48.16	46.26	5.58
SRR2155422	48.089999999999996	46.21	5.7
SRR2155423	48.620000000000005	45.82	5.56
SRR2155424	48.1	46.31	5.59
