Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
SRR2155413	57655.0	958.0	4261.0
SRR2155414	72157.0	2777.0	12639.0
SRR2155415	69932.0	2347.0	12217.0
SRR2155416	66429.0	1793.0	8928.0
SRR2155417	74752.0	3279.0	15727.0
SRR2155418	69893.0	2346.0	11738.0
SRR2155419	62972.0	1362.0	6433.0
SRR2155420	74330.0	3283.0	14907.0
SRR2155421	67015.0	1888.0	9230.0
SRR2155422	66573.0	1821.0	9360.0
SRR2155423	71979.0	2771.0	12753.0
SRR2155424	68979.0	2173.0	10906.0
