Sample	Unique Reads	Duplicate Reads
SRR2155413	6481275.0	2620341.0
SRR2155414	19085862.0	11458477.0
SRR2155415	17434265.0	11605711.0
SRR2155416	12642928.0	7645715.0
SRR2155417	22994239.0	15624856.0
SRR2155418	17301016.0	11740516.0
SRR2155419	9928863.0	5029401.0
SRR2155420	22201987.0	14819154.0
SRR2155421	13915170.0	8076342.0
SRR2155422	12925980.0	7876927.0
SRR2155423	18868642.0	11633234.0
SRR2155424	16149474.0	10437774.0
