Sample	x	y
SRR2155413	-16.1726117382501	23.8391083788961
SRR2155414	-6.35597924395987	-7.74718877014909
SRR2155415	-6.35992029505376	-7.05259957117521
SRR2155416	-8.01152068275734	-3.87599832579306
SRR2155417	-6.12833703995087	-5.97715716517687
SRR2155418	-6.43593417919967	-4.9849565207527
SRR2155419	2.69047083667219	4.00992563975002
SRR2155420	-0.301589853391259	-5.10392617317251
SRR2155421	-1.07153627300898	-3.33468882293054
SRR2155422	17.5181557285882	8.69679325769576
SRR2155423	15.2536218034199	0.882942301893984
SRR2155424	15.3751809368915	0.647745770914067
