Sample	5.0	10.0	15.0	20.0	25.0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0
SRR2155413	16733.0	25226.0	31007.0	35206.0	38388.0	40964.0	43186.0	45005.0	46625.0	48090.0	49398.0	50503.0	51559.0	52468.0	53298.0	54106.0	54857.0	55560.0	56195.0	56769.0
SRR2155414	30398.0	41057.0	47124.0	51125.0	54115.0	56436.0	58381.0	59992.0	61392.0	62604.0	63712.0	64633.0	65558.0	66384.0	67113.0	67803.0	68459.0	69027.0	69584.0	70128.0
SRR2155415	28976.0	39516.0	45429.0	49396.0	52375.0	54676.0	56604.0	58224.0	59577.0	60774.0	61822.0	62777.0	63631.0	64407.0	65163.0	65853.0	66414.0	67017.0	67573.0	68073.0
SRR2155416	25210.0	35400.0	41411.0	45470.0	48517.0	50892.0	52882.0	54624.0	55991.0	57197.0	58299.0	59311.0	60196.0	61064.0	61792.0	62473.0	63121.0	63676.0	64234.0	64803.0
SRR2155417	32795.0	43686.0	49659.0	53575.0	56421.0	58785.0	60710.0	62265.0	63677.0	64870.0	65935.0	66903.0	67782.0	68622.0	69349.0	70058.0	70694.0	71339.0	71900.0	72401.0
SRR2155418	28902.0	39477.0	45351.0	49374.0	52290.0	54569.0	56489.0	58040.0	59432.0	60632.0	61665.0	62564.0	63434.0	64247.0	65043.0	65676.0	66351.0	66884.0	67420.0	67981.0
SRR2155419	21620.0	31287.0	37158.0	41357.0	44487.0	47025.0	49103.0	50851.0	52381.0	53707.0	54834.0	55834.0	56824.0	57644.0	58461.0	59216.0	59947.0	60567.0	61182.0	61739.0
SRR2155420	32550.0	43256.0	49259.0	53193.0	56115.0	58367.0	60300.0	61843.0	63274.0	64502.0	65650.0	66606.0	67453.0	68279.0	69040.0	69722.0	70328.0	70938.0	71502.0	72027.0
SRR2155421	25851.0	36061.0	42105.0	46173.0	49230.0	51589.0	53492.0	55194.0	56629.0	57918.0	59003.0	59992.0	60889.0	61721.0	62495.0	63188.0	63877.0	64446.0	65013.0	65514.0
SRR2155422	25450.0	35587.0	41497.0	45647.0	48619.0	51009.0	52964.0	54641.0	56064.0	57345.0	58481.0	59447.0	60384.0	61224.0	62001.0	62666.0	63315.0	63903.0	64487.0	64995.0
SRR2155423	29798.0	40513.0	46450.0	50510.0	53555.0	55878.0	57816.0	59435.0	60774.0	61979.0	63123.0	64190.0	65103.0	65973.0	66754.0	67463.0	68136.0	68778.0	69399.0	69932.0
SRR2155424	27915.0	38394.0	44408.0	48298.0	51183.0	53469.0	55452.0	57088.0	58445.0	59687.0	60788.0	61796.0	62668.0	63498.0	64241.0	64899.0	65547.0	66111.0	66693.0	67195.0
