Sample	x	y
SRR2155413	-10.4825899452492	15.549031818208
SRR2155414	-4.25945256948455	-4.34225906237682
SRR2155415	-4.83142198182006	-3.97146205533545
SRR2155416	-4.45990729826092	-2.13798686441154
SRR2155417	-4.19770538686247	-4.38401787486716
SRR2155418	-4.93262079136788	-4.05489728717234
SRR2155419	2.6971092833127	3.07300868697464
SRR2155420	-0.254390173128297	-3.12070975197688
SRR2155421	-0.779136974913826	-2.52369589017065
SRR2155422	11.5726221199928	4.3850752750603
SRR2155423	9.78993488217533	-0.249722758055241
SRR2155424	10.1375588356064	1.77763576412311
