Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
SRR2155413										7.89251353886894	1.2354222249679365	0.963130197865882	0.04626954192825003	0.0	0.0	0.0																																																																																																			
SRR2155414										11.434439879751976	2.504522956177277	2.5631415752845954	0.27035413934919206	0.06900056736776501	0.0	0.0																																																																																																			
SRR2155415										12.472821478695261	2.7205041788631528	3.000482887839044	0.35370125321633183	0.11625542365226978	0.0	0.0																																																																																																			
SRR2155416										11.360563328903792	2.377293924807121	2.4434744592207567	0.2682188826096095	0.056816336145494716	0.0	0.0																																																																																																			
SRR2155417										12.606563407078703	2.9289067094814967	3.1859440558624676	0.37090446294023693	0.14159028115354347	0.0	0.0																																																																																																			
SRR2155418										12.667582814808199	2.8716014455849512	3.074538230519087	0.3765770719917184	0.14982667056116497	0.0	0.0																																																																																																			
SRR2155419										9.799611206628542	1.943921563913478	1.8609026881700919	0.15290913222325028	0.034669915930398	0.0	0.0																																																																																																			
SRR2155420										12.395148460796152	2.8770922023275514	3.103164880950369	0.3528908007401459	0.11836572208355448	0.0	0.0																																																																																																			
SRR2155421										11.304431244066384	2.2828895818676056	2.1604678336196956	0.21275574269377756	0.04947591201030632	0.0	0.0																																																																																																			
SRR2155422										11.555856730667925	2.3623112557668606	2.384156632358348	0.2480046505065799	0.044413328833567724	0.0	0.0																																																																																																			
SRR2155423										11.72857819660961	2.6134794338297542	2.468059789396557	0.24968237545259794	0.07376415509615541	0.0	0.0																																																																																																			
SRR2155424										12.164434175977046	2.6641513131889076	2.671245356167283	0.27116382210015727	0.09587534910375568	0.0	0.0																																																																																																			
