Sample	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	3	4	5	6	7	8	9	MT	X	Y	KI270733.1	GL000220.1
SRR2155413	1124599	291019	685750	501843	130794	214685	216295	332015	506830	106333	626741	641260	219351	453622	227745	391036	212560	486970	774697	622335	382991	379027	214728	367503	9584	159377	158247
SRR2155414	3782127	968114	2260624	1701392	424491	709565	702251	1100379	1728616	345869	2098591	2126747	726587	1722625	764963	1283569	698718	1611539	2636363	2093538	1265566	1259422	884554	1234658	37867	638959	635192
SRR2155415	3612037	929487	2125843	1616772	411614	682839	677184	1031678	1625601	335898	1958718	2051412	691492	1628051	714274	1233086	680572	1551497	2501045	1988679	1211992	1191309	898258	1174193	38008	603431	600866
SRR2155416	2515844	649383	1520882	1125263	290393	476742	483007	740797	1125250	234470	1384795	1424204	486536	1177420	506230	867151	471421	1085533	1742954	1390068	848257	850049	535665	817406	21214	437676	435325
SRR2155417	4781456	1224002	2862049	2175431	538125	893657	895490	1384108	2192592	439622	2669351	2695460	921735	2190935	965135	1626699	887410	2055367	3372565	2647075	1605502	1596117	1087781	1565125	50385	815119	810512
SRR2155418	3613384	930733	2129818	1616315	416134	682659	682041	1032150	1614396	337502	1944713	2057028	691234	1703249	714193	1239685	682904	1558194	2536952	1993397	1213457	1200065	827234	1179669	38890	641871	638766
SRR2155419	1874758	479062	1111764	815679	213646	353462	356346	551981	818851	174369	995601	1078348	354081	859466	369591	645678	346203	794114	1243249	1006057	629136	617513	444591	600065	15823	321020	319126
SRR2155420	4595421	1177181	2752392	2052622	507224	862064	855013	1346829	2096163	417565	2526659	2622252	880395	2191938	926228	1557995	843111	1947979	3164759	2486568	1538795	1507989	1094010	1486438	48117	830399	825916
SRR2155421	2730600	707872	1634908	1227713	305877	515830	511679	799169	1247934	249701	1500003	1574613	524694	1246841	549283	937141	508895	1166036	1886246	1486751	919589	896343	543116	887561	29143	461301	457626
SRR2155422	2589171	652915	1582986	1162405	292104	480781	490275	817537	1177526	237046	1424930	1546035	489014	1157949	543431	883212	467962	1089152	1699476	1360731	864154	855637	559115	824979	20206	429795	427469
SRR2155423	3783031	967668	2283973	1697011	425292	706396	707471	1163341	1729658	340777	2042237	2255582	714372	1797278	791027	1292272	690838	1588053	2515707	1985255	1256709	1220698	888304	1201580	36270	683944	680770
SRR2155424	3309859	853595	1996243	1486550	374673	619899	619472	1019249	1509902	299194	1766500	1988595	621776	1463459	687477	1132594	609156	1403186	2210344	1743527	1100276	1074731	702324	1056641	31987	540321	537007
