Sample	x	y
SRR2155413	-15.7646215959571	24.9990205377731
SRR2155414	-11.392897517765	-7.09793770291514
SRR2155415	-12.0325859348018	-7.62267037017854
SRR2155416	-11.8948073678814	3.33581239444733
SRR2155417	-11.1737240460336	-6.89168566162601
SRR2155418	-11.9315590396366	-7.03398042247685
SRR2155419	4.15337227780368	10.2307696047343
SRR2155420	-0.734621687678431	-5.50938534787803
SRR2155421	-0.590548636534087	-5.8261676237681
SRR2155422	25.2808791998709	7.87676939587406
SRR2155423	22.996226250643	-3.26453146966405
SRR2155424	23.0848880979704	-3.19601333432198
