Sample	x	y
SRR2155413	-16.86868292087	25.1323880851894
SRR2155414	-11.6593536003176	-9.26810552671777
SRR2155415	-12.357681942295	-6.95797234248649
SRR2155416	-12.4687458193665	5.38513612086011
SRR2155417	-11.6212115954613	-8.21356053120202
SRR2155418	-12.1078958203728	-6.432055232234
SRR2155419	4.71774360712051	12.0997825373479
SRR2155420	-0.168045944548322	-8.24312484814168
SRR2155421	-0.583078198513526	-5.17723587491131
SRR2155422	25.7317583584605	10.7137716617745
SRR2155423	23.3961170504944	-5.71286803940145
SRR2155424	23.9890768256697	-3.32615601007727
