Sample	Chromosome X	Chromosome Y
SRR2155413	367503.0	9584.0
SRR2155414	1234658.0	37867.0
SRR2155415	1174193.0	38008.0
SRR2155416	817406.0	21214.0
SRR2155417	1565125.0	50385.0
SRR2155418	1179669.0	38890.0
SRR2155419	600065.0	15823.0
SRR2155420	1486438.0	48117.0
SRR2155421	887561.0	29143.0
SRR2155422	824979.0	20206.0
SRR2155423	1201580.0	36270.0
SRR2155424	1056641.0	31987.0
