Sample	Unique Unpaired	Duplicate Unpaired
SRR2155413	5522794.0	3479379.0
SRR2155414	13458381.0	16684629.0
SRR2155415	13009345.0	15621789.0
SRR2155416	10133885.0	9914598.0
SRR2155417	15522829.0	22566380.0
SRR2155418	12987171.0	15650837.0
SRR2155419	8149741.0	6631215.0
SRR2155420	15173565.0	21349588.0
SRR2155421	10713457.0	10975153.0
SRR2155422	10222214.0	10340810.0
SRR2155423	13166020.0	16901063.0
SRR2155424	12219161.0	14005382.0
