Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
SRR2155413										8.463453953493946	1.3528680704631817	1.0430685762905347	0.060840299097655676	0.0	0.0	0.0																																																																																																			
SRR2155414										12.335798689596215	2.682013078941915	2.8128571889938745	0.31145229064640156	0.07686743747940085	0.0	0.0																																																																																																			
SRR2155415										13.451092022601937	3.0082030552824452	3.282262385334419	0.38638479786408486	0.1679735526796729	0.03229426677039522	0.0																																																																																																			
SRR2155416										12.0514321724089	2.571386205675242	2.665673360319841	0.2964148013764643	0.07403190731238955	0.0	0.0																																																																																																			
SRR2155417										13.445498220311938	3.18560607991991	3.5053772279938435	0.39435813990415375	0.1579640544109073	0.0	0.0																																																																																																			
SRR2155418										13.608738586466314	3.150853548390299	3.402926160048364	0.4161921611633508	0.17286526479621622	0.0	0.0																																																																																																			
SRR2155419										10.426888771592735	2.0661797607943138	2.0501093256253404	0.17511465884789373	0.04726089233225417	0.0	0.0																																																																																																			
SRR2155420										13.298519561498562	3.114512396243465	3.355820366417349	0.3885722679855001	0.13273239675365903	0.0	0.0																																																																																																			
SRR2155421										12.241247056979834	2.5413878575645676	2.3902377751628525	0.23940593080737624	0.050967649486231954	0.0	0.0																																																																																																			
SRR2155422										12.25271569351655	2.5822846734388536	2.5830201414086487	0.28321905748513915	0.06492861940098169	0.0	0.0																																																																																																			
SRR2155423										12.606141054512682	2.802146706489256	2.7532583487886026	0.2724664424527914	0.08260106589162043	0.0	0.0																																																																																																			
SRR2155424										13.181042551772599	2.888897001153357	2.9702675614176397	0.3141269226323719	0.10292713402714551	0.0	0.0																																																																																																			
