Sample	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
SRR2155413	6067.0	10482.0	17057.0	18326.0	20036.0	21079.0	21853.0	21562.0	22503.0	24610.0	28513.0	34417.0	37554.0	35945.0	32986.0	32444.0	31128.0	31773.0	31802.0	31719.0	31938.0	33915.0	35358.0	37296.0	40683.0	42307.0	46324.0	48080.0	41519.0	49954.0	59370.0	66445.0	71726.0	82268.0	99384.0	112265.0	143488.0	191632.0	296846.0	990418.0	6068544.0
SRR2155414	18269.0	32666.0	58856.0	63683.0	48847.0	54577.0	58651.0	63058.0	67799.0	77149.0	94594.0	113725.0	124803.0	114824.0	105056.0	101113.0	99057.0	97198.0	97731.0	99891.0	102526.0	106346.0	110029.0	116121.0	127123.0	134635.0	146190.0	150831.0	140371.0	165712.0	192085.0	208140.0	224462.0	257940.0	301134.0	353260.0	446928.0	593684.0	898761.0	3249273.0	20927241.0
SRR2155415	20618.0	34699.0	55966.0	63154.0	69932.0	76324.0	78037.0	78701.0	83126.0	92741.0	111276.0	132967.0	148982.0	135684.0	122924.0	116804.0	114376.0	112181.0	112780.0	113510.0	113871.0	116499.0	121649.0	128893.0	140811.0	146837.0	156279.0	161211.0	147463.0	175183.0	203756.0	221643.0	240676.0	272641.0	322255.0	380526.0	471034.0	612157.0	940972.0	3111004.0	18979834.0
SRR2155416	15354.0	26439.0	43077.0	45677.0	48499.0	49857.0	51543.0	51704.0	52785.0	58249.0	67544.0	80177.0	88526.0	85440.0	77634.0	76408.0	73960.0	74215.0	74493.0	74401.0	75136.0	79735.0	83660.0	86461.0	94787.0	98724.0	108333.0	112129.0	96399.0	117185.0	137823.0	153542.0	165286.0	189976.0	226131.0	254614.0	325347.0	433345.0	666033.0	2186956.0	13381059.0
SRR2155417	24629.0	44275.0	79661.0	85848.0	67455.0	74584.0	79297.0	86287.0	91964.0	105434.0	127603.0	153062.0	168527.0	154854.0	141129.0	135968.0	133434.0	130101.0	131300.0	134315.0	136430.0	140767.0	146597.0	154373.0	169221.0	178479.0	193734.0	197963.0	185463.0	219595.0	255300.0	276015.0	297680.0	341644.0	400440.0	467969.0	591909.0	783459.0	1171581.0	4101012.0	26059737.0
SRR2155418	19372.0	32792.0	52181.0	59426.0	67172.0	72537.0	74276.0	75557.0	79513.0	89090.0	106486.0	128018.0	143227.0	130705.0	117659.0	112507.0	109915.0	108226.0	108955.0	109572.0	109938.0	113287.0	116916.0	124575.0	135686.0	142789.0	151268.0	156804.0	141892.0	168377.0	196365.0	213108.0	232372.0	262838.0	310642.0	369088.0	456882.0	596308.0	930044.0	3117943.0	19197224.0
SRR2155419	10359.0	17836.0	28734.0	31117.0	33774.0	35943.0	37176.0	36240.0	37650.0	41763.0	48526.0	58296.0	63859.0	61753.0	55367.0	54046.0	52650.0	53526.0	53564.0	53311.0	54361.0	57791.0	60312.0	63738.0	69434.0	71884.0	78451.0	81487.0	70017.0	84766.0	100783.0	113354.0	120692.0	140650.0	169896.0	190536.0	244587.0	327738.0	501688.0	1626800.0	9863809.0
SRR2155420	22067.0	40217.0	72573.0	78348.0	61295.0	67898.0	73037.0	78456.0	84672.0	96328.0	117355.0	139816.0	154408.0	142668.0	129382.0	125156.0	122709.0	119436.0	120641.0	122925.0	125615.0	131062.0	136499.0	143613.0	156798.0	166510.0	179284.0	184194.0	170477.0	202783.0	236653.0	256505.0	279075.0	320866.0	377474.0	443153.0	561679.0	746766.0	1120333.0	3953788.0	25158627.0
SRR2155421	14099.0	24410.0	39515.0	44965.0	50889.0	55606.0	57298.0	58016.0	60921.0	68275.0	81386.0	97991.0	109736.0	99467.0	90338.0	86556.0	84694.0	83050.0	83622.0	84205.0	84727.0	87062.0	90757.0	95423.0	104874.0	108744.0	115329.0	119123.0	108068.0	128946.0	148996.0	163641.0	178803.0	203319.0	239900.0	285424.0	356449.0	465627.0	720895.0	2373243.0	14437123.0
SRR2155422	16712.0	29262.0	46326.0	48653.0	51925.0	53771.0	55512.0	54615.0	56788.0	62297.0	73278.0	85976.0	94456.0	90377.0	83375.0	81431.0	78003.0	78792.0	79832.0	78839.0	80618.0	84461.0	88765.0	91781.0	100184.0	103967.0	114177.0	118134.0	101967.0	122837.0	145264.0	161565.0	173202.0	199238.0	237487.0	265999.0	337461.0	448213.0	685648.0	2235185.0	13606534.0
SRR2155423	19592.0	35174.0	62959.0	67420.0	52938.0	58134.0	62444.0	67418.0	72542.0	82220.0	100322.0	119795.0	132070.0	121443.0	110644.0	106054.0	103754.0	101845.0	102350.0	103811.0	106362.0	110014.0	115186.0	121282.0	132639.0	139584.0	151524.0	156597.0	146802.0	173642.0	201542.0	218025.0	235820.0	270205.0	316192.0	370165.0	465883.0	619111.0	924157.0	3245287.0	20598928.0
SRR2155424	17532.0	30387.0	48797.0	54868.0	61158.0	67201.0	69054.0	69555.0	73141.0	82180.0	98703.0	117778.0	132283.0	120746.0	108868.0	103879.0	102195.0	100267.0	101337.0	102063.0	101396.0	104118.0	108971.0	115553.0	125388.0	132276.0	139855.0	144727.0	131928.0	156218.0	182060.0	199542.0	216923.0	246359.0	292454.0	346067.0	429139.0	559304.0	862831.0	2866138.0	17464009.0
